ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
MIR2053	NA	NA	NA	NA	uc022azy.1	chr8	113655722	113655812
UTP23	uc003yoc.3	chr8	117778742	117778842	uc003yoc.3	chr8	117784082	117786921
RAD21-AS1	uc003yoe.3	chr8	117886663	117887013	uc003yoe.3	chr8	117887845	117889107
AARD	uc003yof.3	chr8	117950464	117950482	uc003yof.3	chr8	117954941	117956239
SLC30A8	uc010mcz.3	chr8	117962512	118159268	uc010mcz.3	chr8	118184921	118188953
MED30	uc003yoj.3	chr8	118532965	118533115	uc003yoj.3	chr8	118552218	118552501
COLEC10	uc003yoo.3	chr8	120079424	120079520	uc003yoo.3	chr8	120118431	120119202
MAL2	uc003yop.3	chr8	120220610	120220711	uc003yop.3	chr8	120255729	120257914
NOV	uc003yoq.2	chr8	120428552	120428772	uc003yoq.2	chr8	120435373	120436678
DEPTOR	uc003yow.4	chr8	120885900	120886086	uc003yow.4	chr8	121061944	121063157
COL14A1	uc003yox.4	chr8	121137347	121160081	uc003yox.4	chr8	121383471	121384273
MTBP	uc003ypb.2	chr8	121457638	121457710	uc011lie.2	chr8	121457638	121500572
AK057448	NA	NA	NA	NA	uc003ypf.1	chr8	121773493	121789072
HAS2-AS1	NA	NA	NA	NA	uc022baf.1	chr8	122651586	122657564
ZHX2	uc003ypk.1	chr8	123793901	123963750	uc003ypk.1	chr8	123966265	123986755
WDR67	uc011lih.2	chr8	124084920	124089487	uc003ypq.2	chr8	124084920	124164392
FAM83A	uc003ypv.3	chr8	124191287	124195096	uc003ypv.3	chr8	124219929	124221207
WDYHV1	uc011lij.1	chr8	124429045	124440260	uc003yqn.1	chr8	124453656	124454260
FAM91A1	uc011lil.2	chr8	124780882	124796732	uc003yqv.3	chr8	124824945	124827690
FER1L6	uc003yqw.3	chr8	124864227	124968238	uc003yqw.3	chr8	125132032	125132302
TRMT12	uc003yra.4	chr8	125463048	125463168	uc003yra.4	chr8	125464516	125465266
RNF139	uc003yrc.3	chr8	125487008	125487350	uc003yrc.3	chr8	125499886	125500859
NDUFB9	uc003yrg.4	chr8	125551343	125551427	uc011lim.1	chr8	125580146	125580751
LOC157381	NA	NA	NA	NA	uc003yrp.2	chr8	125954250	125963337
ZNF572	uc003yrr.3	chr8	125985539	125987882	uc003yrr.3	chr8	125990101	125991630
SQLE	uc011liq.2	chr8	126010720	126011645	uc011liq.2	chr8	126034188	126034525
NSMCE2	uc003yrw.2	chr8	126104083	126114572	uc003yrw.2	chr8	126379128	126379367
TRIB1	uc010mdn.3	chr8	126445943	126448287	uc003yrx.3	chr8	126448714	126450644
PCAT1	NA	NA	NA	NA	uc022bbd.1	chr8	128025399	128033259
POU5F1B	uc003ysf.3	chr8	128427857	128428111	uc003ysf.3	chr8	128429192	128429441
MYC	uc003ysh.1	chr8	128747765	128750508	uc003ysj.3	chr8	128806803	128867566
PVT1	NA	NA	NA	NA	uc003ysl.3	chr8	128902835	129113499
MIR1204	NA	NA	NA	NA	uc022bbf.1	chr8	128808208	128808274
MIR1205	NA	NA	NA	NA	uc022bbg.1	chr8	128972879	128972941
MIR1207	NA	NA	NA	NA	uc022bbj.1	chr8	129061398	129061484
MIR1208	NA	NA	NA	NA	uc022bbk.1	chr8	129162362	129162434
EFR3A	uc003yte.3	chr8	132916356	132916559	uc003yte.3	chr8	133023143	133025886
PHF20L1	uc031tck.1	chr8	133806979	133811067	uc003ytu.1	chr8	133790042	133837616
TG	uc011ljb.2	chr8	133931621	133941322	uc003ytx.1	chr8	133931621	133941437
WISP1	uc003yub.3	chr8	134203282	134203387	uc003yud.3	chr8	134225276	134243932
ZFAT-AS1	NA	NA	NA	NA	uc003yus.1	chr8	135610314	135612932
LOC286094	uc011ljn.2	chr8	136246374	136246501	uc011ljm.2	chr8	136246374	136311962
KHDRBS3	uc010mek.4	chr8	136594121	136653854	uc003yuw.3	chr8	136657311	136659848
CHRAC1	uc003yvl.3	chr8	141521397	141521598	uc010mem.2	chr8	141521397	141527252
DENND3	uc003yvy.3	chr8	142138720	142146745	uc003ywa.1	chr8	142203018	142205906
LOC731779	NA	NA	NA	NA	uc003ywe.3	chr8	142350648	142354720
AK311257	NA	NA	NA	NA	uc010mes.3	chr8	142402121	142432272
PTP4A3	uc003ywg.1	chr8	142432007	142432340	uc003ywg.1	chr8	142441145	142441620
MIR4472-1	NA	NA	NA	NA	uc022bbz.1	chr8	143257700	143257779
LINC00051	NA	NA	NA	NA	uc011ljt.2	chr8	143279717	143290364
BAI1	uc003ywm.3	chr8	143545377	143545559	uc003ywm.3	chr8	143625779	143626368
PSCA	uc022bcd.1	chr8	143751726	143763392	uc003ywu.3	chr8	143763551	143764145
LY6K	uc011ljv.2	chr8	143781529	143781945	uc011ljw.2	chr8	143784408	143785584
THEM6	uc003yww.1	chr8	143808621	143808764	uc003yww.1	chr8	143816858	143818350
GML	uc003yxg.3	chr8	143916217	143921853	uc003yxg.3	chr8	143928107	143928262
CDC42P3	NA	NA	NA	NA	uc031tcl.1	chr8	144077245	144079080
LY6E	uc003yxn.2	chr8	144099902	144102356	uc003yxo.2	chr8	144099902	144103827
C8orf31	uc003yxp.1	chr8	144120679	144124418	uc003yxq.1	chr8	144120679	144135720
GPIHBP1	uc003yxu.2	chr8	144295068	144295142	uc003yxu.2	chr8	144297394	144299044
ZFP41	uc031tcm.1	chr8	144328991	144332013	uc003yxv.3	chr8	144328991	144359101
GLI4	uc003yxx.3	chr8	144349607	144351566	uc003yxx.3	chr8	144358975	144359101
ZNF696	uc003yxy.4	chr8	144373559	144375171	uc003yxy.4	chr8	144378971	144382120
RHPN1	uc003yyb.3	chr8	144451025	144451157	uc003yyb.3	chr8	144464822	144466390
GSDMD	uc010mfe.3	chr8	144635557	144641505	uc003yyi.3	chr8	144643194	144643593
TIGD5	NA	NA	NA	NA	uc003yyx.2	chr8	144682003	144682485
ZNF623	uc011lkp.2	chr8	144718183	144732162	uc011lkp.2	chr8	144733654	144735900
ZNF707	uc003yzh.4	chr8	144766622	144774463	uc011lkq.1	chr8	144766622	144794977
BREA2	NA	NA	NA	NA	uc010mfj.2	chr8	144779285	144780583
MAPK15	uc003yzj.3	chr8	144798507	144798547	uc003yzj.3	chr8	144804422	144804633
LOC100128338	uc003yzl.1	chr8	144816310	144818023	uc003yzl.1	chr8	144826131	144828507
AX746851	uc022bcj.1	chr8	144824177	144824460	uc022bcj.1	chr8	144825274	144828506
GRINA	uc003zan.1	chr8	145064226	145065391	uc003zan.1	chr8	145067010	145067583
SPATC1	uc011lkw.2	chr8	145086582	145086683	uc011lkx.2	chr8	145101548	145102015
EXOSC4	uc003zau.3	chr8	145133522	145133631	uc003zau.3	chr8	145135505	145135551
GPAA1	uc003zav.1	chr8	145137524	145138616	uc003zax.3	chr8	145141029	145141119
CYC1	uc003zay.3	chr8	145149942	145150783	uc003zay.3	chr8	145152240	145152428
MAF1	uc003zbc.1	chr8	145159305	145160586	uc003zbc.1	chr8	145162013	145162515
KIAA1875	uc011lkz.1	chr8	145167372	145169147	uc003zbd.3	chr8	145162629	145173218
FAM203A	uc003zbf.3	chr8	145192707	145193709	uc010mfs.3	chr8	145194456	145195620
MROH1	uc003zbg.2	chr8	145202919	145218729	uc031tcr.1	chr8	145226874	145256920
SCXB	NA	NA	NA	NA	NA	NA	NA	NA
HEATR7A	uc003zbp.3	chr8	145463068	145471386	uc022bcm.1	chr8	145485629	145485887
HSF1	uc003zbt.4	chr8	145515270	145515439	uc003zbu.4	chr8	145515270	145538385
SLC52A2	uc011llc.2	chr8	145582241	145583416	uc003zcc.2	chr8	145584676	145584948
ADCK5	uc003zci.3	chr8	145617095	145617511	uc003zch.3	chr8	145618290	145618453
AK298596	NA	NA	NA	NA	uc011llh.1	chr8	145660551	145665276
KIFC2	uc003zcz.3	chr8	145691738	145691802	uc003zcz.3	chr8	145698834	145699499
PPP1R16A	uc003zdd.3	chr8	145715417	145722577	uc003zdd.3	chr8	145727287	145727504
GPT	uc031tcs.1	chr8	145729465	145730208	uc003zdh.4	chr8	145732384	145732555
MFSD3	uc003zdi.1	chr8	145734552	145734716	uc003zdi.1	chr8	145736548	145736589
LRRC14	uc003zdl.3	chr8	145743349	145745109	uc003zdl.3	chr8	145746863	145750559
ZNF517	uc010mgd.1	chr8	146024261	146032583	uc003zee.1	chr8	146024261	146035461
ZNF7	uc011lln.2	chr8	146052903	146066780	uc003zeh.2	chr8	146071564	146072894
TMED10P1	uc003zey.3	chr8	146220251	146220271	uc003zey.3	chr8	146220872	146224283
ZNF252P-AS1	uc003zfb.4	chr8	146228197	146228372	uc003zfb.4	chr8	146229009	146231432
C8orf33	uc003zfc.4	chr8	146277824	146277877	uc003zfd.3	chr8	146278190	146281416
OR4F21	NA	NA	NA	NA	NA	NA	NA	NA
RPL23AP53	uc010lra.3	chr8	158345	182318	uc010lrb.4	chr8	158345	163470
TDRP	uc022aqm.2	chr8	494758	495781	uc022aqm.2	chr8	439790	442398
ERICH1	uc003wpi.3	chr8	623788	624047	uc003wpi.3	chr8	615992	618490
LOC286083	uc022aqn.1	chr8	1244294	1250827	NA	NA	NA	NA
AK093412	uc003wpn.1	chr8	1552721	1570583	NA	NA	NA	NA
BC045738	uc003wqa.3	chr8	2447076	2480453	NA	NA	NA	NA
AK128880	uc003wqb.1	chr8	2554056	2585957	NA	NA	NA	NA
CSMD1	uc010lrg.3	chr8	3019732	3045487	uc010lrg.3	chr8	2792875	2796106
LOC100287015	uc003wqf.3	chr8	6261077	6264069	NA	NA	NA	NA
ANGPT2	uc003wqj.4	chr8	6420456	6420784	uc003wqj.4	chr8	6357175	6360621
XKR5	uc003wqq.3	chr8	6681191	6693166	uc003wqq.3	chr8	6666041	6669760
DEFB1	uc003wqs.2	chr8	6735380	6735529	uc003wqs.2	chr8	6728097	6728202
DEFA6	uc003wqt.3	chr8	6783558	6783598	uc003wqt.3	chr8	6782216	6782339
DEFA4	uc003wqu.1	chr8	6794422	6795786	uc003wqu.1	chr8	6793345	6793541
DEFA8P	uc031szx.1	chr8	6808248	6809121	NA	NA	NA	NA
DEFA9P	uc031szy.1	chr8	6816811	6817683	NA	NA	NA	NA
DEFA1	uc003wqv.1	chr8	6836157	6837614	uc003wqv.1	chr8	6835171	6835291
DEFT1P	uc003wqw.1	chr8	6844700	6847243	NA	NA	NA	NA
DEFA1B	uc003wqz.1	chr8	6874373	6875823	uc003wqz.1	chr8	6873391	6873511
DEFA11P	uc031szz.1	chr8	6886123	6887011	NA	NA	NA	NA
DEFA5	uc003wra.1	chr8	6914220	6914259	uc003wra.1	chr8	6912829	6912952
FAM66B	uc010lrk.1	chr8	7143733	7212874	NA	NA	NA	NA
ZNF705G	uc022are.1	chr8	7220469	7220490	NA	NA	NA	NA
DEFB4B	uc022arf.1	chr8	7274350	7274354	uc022arf.1	chr8	7272385	7272482
FAM90A7P	uc031tac.1	chr8	7413660	7431920	NA	NA	NA	NA
DEFB107B	uc003wrs.1	chr8	7673151	7673238	uc003wrs.1	chr8	7669242	7669329
USP17L8	NA	NA	NA	NA	NA	NA	NA	NA
USP17L3	NA	NA	NA	NA	NA	NA	NA	NA
MIR548I3	uc022arn.1	chr8	7946463	7946611	NA	NA	NA	NA
SGK223	NA	NA	NA	NA	uc003wsh.4	chr8	8175258	8175675
MFHAS1	uc003wsj.1	chr8	8750569	8751131	uc003wsj.1	chr8	8641999	8643531
PPP1R3B	uc003wso.4	chr8	8999162	9009152	uc003wsn.4	chr8	8993764	8998303
AK091593	uc022ars.2	chr8	9760236	9760588	uc022ars.2	chr8	9757574	9759950
LINC00599	uc003wsu.2	chr8	9757574	9760839	NA	NA	NA	NA
MIR124-1	uc003wsw.1	chr8	9760898	9760982	NA	NA	NA	NA
AK307207	uc010lru.3	chr8	10340388	10405095	NA	NA	NA	NA
RP1L1	uc003wtc.3	chr8	10480712	10512617	uc003wtc.3	chr8	10463860	10464404
SOX7	uc003wtf.3	chr8	10587944	10588022	uc003wtf.3	chr8	10581278	10583247
PINX1	uc003wth.2	chr8	10697267	10697299	uc003wti.2	chr8	10622884	10623295
XKR6	uc003wtk.1	chr8	11058849	11058875	uc003wtk.1	chr8	10753657	10755461
MIR598	uc022arw.1	chr8	10892716	10892812	NA	NA	NA	NA
CR749668	uc003wto.1	chr8	11177526	11182938	NA	NA	NA	NA
BC038546	uc003wtr.1	chr8	11203437	11204999	NA	NA	NA	NA
FAM167A	uc003wtw.2	chr8	11301921	11324276	uc010lry.1	chr8	11278973	11281881
CTSB	uc010lsc.3	chr8	11708449	11725646	uc003wuu.3	chr8	11701827	11704549
DEFB136	NA	NA	NA	NA	NA	NA	NA	NA
DEFB134	NA	NA	NA	NA	NA	NA	NA	NA
DEFB130	NA	NA	NA	NA	NA	NA	NA	NA
LOC392196	NA	NA	NA	NA	uc003wvb.2	chr8	11985367	11986350
USP17L7	NA	NA	NA	NA	NA	NA	NA	NA
USP17L2	NA	NA	NA	NA	NA	NA	NA	NA
FAM90A2P	uc031tah.1	chr8	12033281	12034776	NA	NA	NA	NA
FAM86B1	uc010lsg.3	chr8	12039613	12051624	uc003wvi.4	chr8	12039613	12041175
LOC649352	uc031tai.1	chr8	12236776	12237298	NA	NA	NA	NA
DEFB109P1	uc011kxr.1	chr8	12250793	12257874	NA	NA	NA	NA
FAM90A25P	uc031taj.1	chr8	12274926	12275541	uc031taj.1	chr8	12272030	12273182
FAM86B2	uc010lsl.3	chr8	12283124	12293864	uc011kxt.2	chr8	12283124	12283458
LONRF1	uc010lsp.1	chr8	12594563	12600791	uc011kxv.1	chr8	12579406	12580604
MIR3926-1	uc022asd.1	chr8	12584741	12584813	NA	NA	NA	NA
LOC340357	uc003wwf.4	chr8	12623571	12668910	NA	NA	NA	NA
DLC1	uc003wwm.2	chr8	13357581	13372429	uc011kxx.1	chr8	12940872	12943319
SGCZ	uc003wwq.3	chr8	15095133	15095792	uc010lss.3	chr8	13947373	13947951
MIR383	uc010lst.1	chr8	14710947	14711019	NA	NA	NA	NA
MSR1	uc011kxz.2	chr8	16021713	16050300	uc010lsu.3	chr8	15965387	15967593
FGF20	uc003wxc.1	chr8	16859542	16859674	uc010lsw.1	chr8	16850334	16850797
CNOT7	uc003wxg.1	chr8	17102662	17104387	uc003wxi.1	chr8	17098803	17100496
MTMR7	uc003wxn.3	chr8	17198941	17206590	uc011kya.2	chr8	17154306	17157370
MTUS1	uc010lsy.3	chr8	17501303	17613470	uc003wxs.3	chr8	17501303	17503434
FGL1	uc003wye.3	chr8	17753741	17767874	uc003wxx.3	chr8	17721900	17722100
ASAH1	uc003wyl.2	chr8	17941568	17941879	uc003wyl.2	chr8	17913925	17915042
PSD3	uc003wyz.3	chr8	18623034	18666405	uc003wyx.4	chr8	18384813	18393252
LOC100128993	uc022asm.1	chr8	19041186	19103032	NA	NA	NA	NA
CSGALNACT1	uc003wzg.3	chr8	19261672	19540261	uc011kyn.2	chr8	19261672	19263290
SLC18A1	uc010ltf.3	chr8	20002366	20040717	uc011kyr.2	chr8	20002366	20003298
LZTS1	uc003wzr.3	chr8	20112693	20112803	uc003wzr.3	chr8	20103676	20107232
GFRA2	uc003wzu.1	chr8	21645672	21646346	uc003wzu.1	chr8	21549530	21550789
DOK2	uc003wzz.1	chr8	21768340	21771205	uc003wzy.1	chr8	21766384	21766821
NUDT18	uc003xaq.1	chr8	21966814	21967456	uc003xar.1	chr8	21964384	21965841
HR	uc003xas.3	chr8	21986684	21988565	uc003xas.3	chr8	21971932	21973212
REEP4	uc003xau.1	chr8	21998996	21999448	uc010ltt.1	chr8	21995533	21996201
LGI3	uc003xav.3	chr8	22014056	22014344	uc003xav.3	chr8	22004343	22005672
PHYHIP	uc003xbk.4	chr8	22085871	22089851	uc003xbk.4	chr8	22077216	22078865
MIR320A	uc011kzd.1	chr8	22102475	22102556	NA	NA	NA	NA
AK125860	uc003xbu.1	chr8	22398358	22402918	NA	NA	NA	NA
BIN3	uc010ltw.3	chr8	22488090	22526661	uc003xcl.3	chr8	22477947	22478934
EGR3	uc011kzo.2	chr8	22548988	22550093	uc011kzn.1	chr8	22545174	22547985
PEBP4	uc003xcn.1	chr8	22785228	22785421	uc003xcn.1	chr8	22570765	22570882
BC043400	uc003xcr.3	chr8	22863896	22876848	NA	NA	NA	NA
TNFRSF10B	uc011kzq.1	chr8	22887146	22926700	uc003xcs.1	chr8	22877648	22880183
TNFRSF10D	uc003xcz.2	chr8	23021449	23021543	uc003xcz.2	chr8	22993101	22995382
TNFRSF10A	uc003xda.3	chr8	23082575	23082680	uc003xda.3	chr8	23048970	23049206
LOXL2	uc003xdh.1	chr8	23225865	23261722	uc010lty.1	chr8	23154410	23155578
ENTPD4	uc011kzu.1	chr8	23307414	23315244	uc003xdl.3	chr8	23286665	23290438
NKX3-1	uc011kzx.2	chr8	23540403	23540450	uc031tao.1	chr8	23536206	23538733
NKX2-6	NA	NA	NA	NA	NA	NA	NA	NA
STC1	uc003xdw.1	chr8	23712037	23712320	uc003xdw.1	chr8	23699434	23702282
AK308605	uc010luc.2	chr8	24772068	24772230	uc010luc.2	chr8	24770532	24771812
NEFL	uc003xee.4	chr8	24814030	24814383	uc003xee.4	chr8	24808469	24810322
GNRH1	uc003xem.4	chr8	25280847	25282556	uc003xem.4	chr8	25276774	25276934
KCTD9	uc011lad.2	chr8	25285364	25290951	uc003xeo.3	chr8	25285364	25287372
EBF2	uc010lug.2	chr8	25699246	25745488	uc003xes.2	chr8	25699246	25702124
BC034827	uc003xew.3	chr8	26236777	26240469	NA	NA	NA	NA
PNMA2	uc003xez.2	chr8	26366272	26371483	uc003xez.2	chr8	26362196	26365176
ADRA1A	uc003xfd.1	chr8	26605667	26722922	uc003xfh.1	chr8	26627222	26627665
AK311558	uc010lun.1	chr8	26723017	26724760	NA	NA	NA	NA
STMN4	uc011laj.2	chr8	27099996	27115903	uc011lai.2	chr8	27093814	27096775
TRIM35	uc003xfm.1	chr8	27147673	27168834	uc010lup.1	chr8	27142404	27145628
CHRNA2	uc010lus.3	chr8	27321366	27336813	uc010lur.3	chr8	27317278	27319145
CLU	uc003xfz.2	chr8	27468089	27472328	uc003xfw.2	chr8	27454434	27455757
MIR3622B	uc022atf.1	chr8	27559190	27559284	NA	NA	NA	NA
CCDC25	uc011lan.2	chr8	27590833	27630170	uc003xgc.3	chr8	27590833	27593732
PBK	uc011lap.2	chr8	27690631	27695572	uc003xgi.3	chr8	27667138	27667821
SCARA5	uc003xgj.3	chr8	27845133	27850369	uc003xgj.3	chr8	27727399	27729450
MIR4287	uc022ath.1	chr8	27743556	27743633	NA	NA	NA	NA
NUGGC	uc003xgm.4	chr8	27931928	27941388	uc003xgm.4	chr8	27879481	27880833
ZNF395	uc003xgt.4	chr8	28218642	28347835	uc003xgq.3	chr8	28203102	28206235
FBXO16	uc003xgu.4	chr8	28340964	28347835	uc003xgu.4	chr8	28285926	28286243
MIR4288	uc022ati.1	chr8	28362633	28362699	NA	NA	NA	NA
BC043205	uc003xgy.3	chr8	28553719	28558836	NA	NA	NA	NA
INTS9	uc010lvc.3	chr8	28625175	28747698	uc011lav.2	chr8	28625175	28625662
KIF13B	uc010lvf.1	chr8	29048545	29120610	uc011laz.2	chr8	28924795	28928020
DUSP4	uc003xhl.3	chr8	29203047	29206322	uc003xhl.3	chr8	29190579	29194542
LINC00589	uc003xhn.3	chr8	29578776	29605625	NA	NA	NA	NA
MIR3148	uc022atl.1	chr8	29814788	29814864	NA	NA	NA	NA
TMEM66	uc003xhv.3	chr8	29927342	29940649	uc003xhs.3	chr8	29920631	29921403
MBOAT4	uc010lvg.3	chr8	30002118	30002200	uc010lvg.3	chr8	29989187	29989458
LOC100128750	uc003xia.2	chr8	30242778	30242917	uc003xia.2	chr8	30239635	30241097
GTF2E2	uc003xig.3	chr8	30511116	30515738	uc003xig.3	chr8	30436031	30436437
GSR	uc003xih.2	chr8	30585353	30585486	uc003xih.2	chr8	30535580	30537036
PPP2CB	uc003xik.3	chr8	30669938	30670352	uc003xik.3	chr8	30643126	30643750
TEX15	uc011lbc.2	chr8	30746155	30746222	uc003xil.3	chr8	30689060	30690801
PURG	uc003xim.1	chr8	30890299	30891231	uc003xin.3	chr8	30888357	30889254
FUT10	uc003xje.3	chr8	33318971	33330664	uc003xjc.3	chr8	33228344	33230094
TTI2	uc010lvu.1	chr8	33330904	33358008	uc003xjn.2	chr8	33356027	33356690
RNF122	uc003xjo.1	chr8	33424242	33424643	uc003xjo.1	chr8	33405273	33406270
DUSP26	uc003xjp.3	chr8	33455034	33457439	uc003xjp.3	chr8	33448854	33449530
AX747135	uc003xkb.1	chr8	37594016	37594944	uc003xkb.1	chr8	37592279	37593397
LOC728024	uc010lvx.2	chr8	37605523	37605564	uc010lvx.2	chr8	37604074	37604853
BRF2	uc003xkk.3	chr8	37707302	37707431	uc003xkk.3	chr8	37701398	37702007
RAB11FIP1	uc003xkp.1	chr8	37734985	37735635	uc003xko.1	chr8	37723835	37727904
GOT1L1	uc011lbj.1	chr8	37797548	37797647	uc011lbj.1	chr8	37791800	37791810
ADRB3	uc003xkr.2	chr8	37823988	37824184	uc003xkr.2	chr8	37820514	37821735
STAR	uc003xkv.1	chr8	38008337	38008600	uc003xkv.1	chr8	38000218	38001790
LSM1	uc003xkx.3	chr8	38020839	38034248	uc003xkw.3	chr8	38020839	38021187
PPAPDC1B	uc003xle.4	chr8	38126460	38126658	uc003xle.4	chr8	38120650	38121961
WHSC1L1	uc003xli.3	chr8	38205690	38239790	uc003xlj.3	chr8	38173935	38175473
FGFR1	uc003xlw.1	chr8	38283640	38315052	uc011lbu.2	chr8	38268656	38271145
C8orf86	uc003xlx.1	chr8	38386156	38386180	uc003xlx.1	chr8	38368352	38369904
RNF5P1	uc003xly.3	chr8	38458719	38458775	uc003xly.3	chr8	38457693	38458238
TM2D2	uc003xml.3	chr8	38853023	38854041	uc003xmk.3	chr8	38846327	38848850
SNORD38	uc022aue.1	chr8	38876134	38876202	NA	NA	NA	NA
ADAM3A	uc003xnd.4	chr8	39308564	39380508	uc011lci.3	chr8	39308564	39311570
ADAM2	uc003xnj.4	chr8	39695705	39695808	uc003xnj.4	chr8	39601255	39602378
ZMAT4	uc003xnr.3	chr8	40683196	40755343	uc003xnr.3	chr8	40388111	40389741
SFRP1	uc003xnt.3	chr8	41166679	41166990	uc003xnt.3	chr8	41119476	41122685
NKX6-3	uc010lxa.1	chr8	41504875	41643385	uc003xoa.2	chr8	41503829	41503967
ANK1	uc003xom.3	chr8	41753999	41754280	uc003xod.3	chr8	41510744	41518983
KAT6A	uc010lxb.3	chr8	41906496	41909505	uc010lxb.3	chr8	41786997	41789722
PLAT	uc003xos.2	chr8	42050704	42065194	uc010lxf.1	chr8	42032236	42033510
DKK4	uc003xpb.3	chr8	42234564	42234674	uc003xpb.3	chr8	42231586	42231617
SLC20A2	uc003xpe.4	chr8	42329909	42397356	uc011lcu.3	chr8	42273980	42275320
CHRNA6	uc003xpj.3	chr8	42623574	42623929	uc003xpj.3	chr8	42607780	42608321
THAP1	uc003xpk.3	chr8	42698238	42698474	uc003xpl.3	chr8	42691817	42693388
RNF170	uc010lxp.3	chr8	42725217	42751866	uc010lxp.3	chr8	42708438	42711301
MIR4469	uc022aum.1	chr8	42751340	42751418	NA	NA	NA	NA
CEBPD	uc003xqh.1	chr8	48650683	48650726	uc003xqh.1	chr8	48649476	48649872
PRKDC	uc003xqi.3	chr8	48872687	48872743	uc003xqi.3	chr8	48685669	48686733
EFCAB1	uc003xqn.3	chr8	49623351	49647870	uc011ldj.1	chr8	49627474	49637300
SNAI2	uc003xqp.3	chr8	49833825	49833999	uc003xqp.3	chr8	49830239	49831365
PXDNL	uc003xqt.4	chr8	52232137	52322121	uc003xqu.4	chr8	52232137	52232450
PCMTD1	uc011ldn.2	chr8	52746096	52811735	uc011ldm.2	chr8	52730140	52732910
ST18	uc010lyb.2	chr8	53092686	53322309	uc011ldq.1	chr8	53023392	53025757
FAM150A	uc003xrd.3	chr8	53477817	53478021	uc003xrd.3	chr8	53446597	53451002
RB1CC1	uc003xre.4	chr8	53598030	53627026	uc003xre.4	chr8	53535018	53536341
OPRK1	uc010lyc.1	chr8	54147662	54164194	uc022aup.1	chr8	54138276	54141856
AK056897	uc003xrj.1	chr8	54427731	54436491	NA	NA	NA	NA
ATP6V1H	uc011ldv.3	chr8	54742070	54755871	uc003xrk.4	chr8	54628103	54628523
TCEA1	uc003xrw.1	chr8	54899529	54935008	uc003xru.3	chr8	54879116	54880663
BC039537	uc003xrx.3	chr8	54955552	54957513	NA	NA	NA	NA
LYPLA1	uc011ldx.2	chr8	55014369	55014577	uc003xry.3	chr8	54958938	54960624
SBF1P1	uc011ldz.2	chr8	56361757	56367881	NA	NA	NA	NA
TMEM68	uc003xsh.1	chr8	56675519	56685885	uc003xsi.1	chr8	56673332	56675110
RPS20	uc003xsm.2	chr8	56986943	56987140	uc003xsm.2	chr8	56980739	56982296
SNORD54	uc003xso.1	chr8	56986398	56986460	NA	NA	NA	NA
MOS	NA	NA	NA	NA	NA	NA	NA	NA
PLAG1	uc010lyj.3	chr8	57080059	57123859	uc003xsq.4	chr8	57073468	57078801
SDR16C5	uc003xsy.1	chr8	57228907	57233241	uc010lyk.1	chr8	57212570	57216522
PENK	uc003xta.3	chr8	57358513	57359282	uc010lym.3	chr8	57357804	57358233
LOC100507632	uc003xtc.2	chr8	57430878	57472382	NA	NA	NA	NA
IMPAD1	uc003xte.4	chr8	57906145	57906430	uc003xte.4	chr8	57870488	57876351
BC032030	uc003xtk.3	chr8	59168330	59184660	NA	NA	NA	NA
CYP7A1	uc003xtm.4	chr8	59412658	59412720	uc003xtm.4	chr8	59402737	59404033
NSMAF	uc003xtt.3	chr8	59572191	59572404	uc011lee.2	chr8	59496064	59496664
TOX	uc003xtw.1	chr8	60031547	60031767	uc003xtw.1	chr8	59717977	59720305
CA8	uc003xtz.1	chr8	61193707	61193954	uc003xtz.1	chr8	61101423	61121343
AK124262	uc003xuc.1	chr8	61315771	61326377	NA	NA	NA	NA
LOC100130298	uc022auy.1	chr8	61880305	61880307	uc022auy.1	chr8	61878680	61878841
ASPH	uc003xuj.3	chr8	62626931	62627199	uc011leg.2	chr8	62413115	62415917
BC047540	uc003xut.3	chr8	62671659	62678528	NA	NA	NA	NA
GGH	uc003xuw.3	chr8	63951328	63951610	uc003xuw.3	chr8	63927639	63927890
TTPA	uc003xux.2	chr8	63998581	63998612	uc003xux.2	chr8	63972048	63973810
LOC101410533	uc031tbe.1	chr8	64080284	64081001	NA	NA	NA	NA
AK093370	uc003xvb.1	chr8	64297397	64330488	NA	NA	NA	NA
LOC401463	uc003xvh.4	chr8	65486866	65494445	NA	NA	NA	NA
CYP7B1	uc003xvj.2	chr8	65711145	65711348	uc003xvj.2	chr8	65508529	65509198
LOC286186	uc003xvk.2	chr8	66439243	66474901	NA	NA	NA	NA
ARMC1	uc011leo.2	chr8	66539518	66546452	uc003xvl.3	chr8	66514691	66516628
PDE7A	uc003xvq.3	chr8	66753744	66753969	uc003xvp.3	chr8	66626569	66631524
CRH	uc003xvy.2	chr8	67089713	67090846	uc003xvy.2	chr8	67088612	67089121
LOC100505676	uc022avk.2	chr8	67338280	67341212	uc022avk.2	chr8	67331822	67335645
MYBL1	uc003xwj.3	chr8	67525074	67525480	uc003xwj.3	chr8	67474410	67476931
LOC645895	uc003xwm.3	chr8	67524380	67526482	NA	NA	NA	NA
VCPIP1	uc003xwn.3	chr8	67579194	67579452	uc003xwn.3	chr8	67542488	67546735
PTTG3P	NA	NA	NA	NA	NA	NA	NA	NA
